"title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"9 Stacks","Steve Horn","Maurice Mack, Will Bennett, Tamara Jewel, Jason Wimberly, Walkisha (RED) Lee, Lakeesha Williams, Tiffany  Mitchell","","",2021,"16+","104 min","Action, Comedy, Drama","In a world where scamming is becoming the new normal. This fiction Dramedy tells how Randy gets caught up in a business fraud transaction and Now, he's questioning whether he should do the right thing and return the money or take his chances and take the money and run."
"Taana","Yuvaraj Subramani","Vaibhav, Nandita Swetha, Yogi Babu, Pandiarajan","","",2020,"13+","117 min","Comedy","Shaktivel, a young man, wishes to become a police officer. However, he faces many challenges in his quest due to a speech disorder, which turns his voice feminine when he is nervous."
"Shiba Park","Shinya Ayabe","Kiyohiko Shibukawa, Shima Ohnishi, Ishimoto Doronzu","","",2019,"13+","100 min","Comedy, Drama","In this slice of life comedy, three middle-aged men meet every day in the dog park while their Shiba Inus play together. It's strictly doggie business – not friendship. Until one day, a mystery regarding Ataru's love life drives them to get nosy about each other's personal lives..."
"Kruty 1918","Aleksey Shaparev","Alina Kovalenko, Nataliya Vasko","","",2019,"16+","110 min","Action","Ukraine, 1918. In an act of bravery, a unit of 300 men, mostly students, gather at the train station of Kruty in an effort to block the advance of a Bolshevik army of 4000 strong. Outnumbered by over 10 - 1, the young men put their very lives on the line in order to protect Kiev from being overrun."
"Heal","Kelly Noonan Gores, Adam Schomer","Dr. Deepak Chopra, Dr. Joe Dispenza, Anita Moorjani, Dr. Bruce Lipton, Marianne Williamson, Dr. Michael Beckwith, Gregg Braden, Anthony ""the Medical Medium"" William, Dr. Kelly Turner, Dr. Kelly Brogan","","",2017,"18+","107 min","Documentary","A documentary film that takes us on a scientific and spiritual journey where we discover that by changing one's perceptions, beliefs, and emotions, the human body can heal itself from any dis-ease."
"Aarohanam","Lakshmy Ramakrishnan","Viji Chandrasekhar, Jayaprakash, Uma Padmanabhan, Rajie Vijay Sarathy, Sampath Raj","","",2012,"18+","78 min","Drama","Nirmala, a middle-aged woman who has bipolar disorder, goes missing just a few days before her daughter's marriage. Her children then set out in search of her."
"Gone with the Light","Runnian Dong","Bo Huang, Luodan Wang, Zhuo Tan, Bai-Ke, Lu Huang","","",2018,"13+","131 min","Romance, Science Fiction","Part of the people living on earth were disappeared after a sudden white light. The film revolves around a group of people that disappear after a mysterious light falls upon the city, leaving the survivors to try and unravel the mystery."
"The Dressmaker","Jocelyn Moorhouse","Kate Winslet, Liam Hemsworth, Judy Davis, Hugo Weaving, Caroline Goodall, Sarah Snook, Kerry Fox, Sacha Horler, Rebecca Gibney, Gyton Grantley, Shane Jacobson, Genevieve Lemon, Alison Whyte, Mark Leonard Winter, James Mackay, Amanda Woodhams, Hayley Magnus, Julia Blake, Terry Norris, Shane Bourne, Darcey Wilson, Rory Potter, Simon Maiden, Tracy Harvey","","",2016,"16+","119 min","Historical","THE DRESSMAKER tells the story of the beautiful and talented Tilly Dunnage. After years working as a dressmaker in exclusive Parisian fashion houses, Tilly returns home to a town in the Australian outback to reconcile with her eccentric mother Molly."
"Doors Wide Open","Antwon Rollins","Octavius Lewis","","",2020,"18+","79 min","Drama","A man (Thomas) links up with a car club (The Scraper boys), who rob houses for a living, decides to rob an Oakland drug lord. The robbery goes bad and the money comes up missing."
"Extraordinary: The Seeding","Jon Sumple","April Malloy, Geraldine Orozco, Robert Fullington, Richard Dolan, Barbara Lamb, Yvonne Smith, Marc D'Antonio, Alejandro Rojas, Chase Kloetzke, Susan Bedell, Melinda Leslie, Sierra Neblina, Maren Mastin, Jason Friend","","",2019,"13+","104 min","Documentary, Science Fiction","Through in-depth harrowing interviews with contactees and frank conversations with ufology experts, Extraordinary: The Seeding explores alien hybridization programs, why they're happening and their impact on humanity."
"Route 24","Rotimi Akanbi","Olu Akanbi, Leon Copeland, Courtney Turner, Roger Killian, Holden Bath, Linda Mesi","","",2020,"18+","99 min","Drama","In the nation of Nazir, an ex-convict returns home to a cynical world more imprisoning than the one he left."
"The Legend of Sarila","Nancy Florence Savard","Christopher Plummer, Rachelle Lefevre, Dustin Milligan, Tim Rozon, Geneviève Bujold","","",2013,"ALL","82 min","Animation, Kids","This is the story of a voyage of initiation in which three young Inuit go in search of a promised land. It is also the story of a fight to the death between two shamans, the young Markussi and the aged Killiq, who feels that his power is threatened. An inspirational tale that uses authentic settings and indigenous mythology in order to capture the world of the Great White North."
"Act 6 - Title 1","1","1","","",2021,"ALL","61 min","Action","Act 6 - Title 1"
"Super Fast","Jason Friedberg","Alex Ashbaugh, Dale Pavinski, Lili Mirojnick, Andrea Navedo","","",2015,"16+","99 min","Action, Comedy","Undercover cop, Paul White joins Vin Serentos LA gang of illegal street racers. They are fast and furious and they plan to double cross crime kingpin Juan Carlos de la Sol who hides his cash in a downtown Taco Bell. The gangs outrageous plan is as daring as it is ridiculous but as Vin Serento says: It s not the car you drive... it is the driver who drives the car who is doing the driving."
"Sharyat","Viju Mane","Sachin Pilgaonkar, Santosh Juvekar, Tejashree Pradhan, Neena Kulkarni, Kishore Chougule, Bhargavi Chirmuley, Neha Pendse, Sampada Joglekar Kulkarni, Uday Sabnis, Jaywant Wadkar","","",2011,"ALL","126 min","Action, Drama","Dhananjay (Sachin Pilgaonkar), an ace bullock cart rider, is asked to take part in an annual bullock cart race to win the village a religious honour, but the memory of his last defeat continues to haunt him."
"The Ballad of Billy McCrae","Chris Crow","David Hayman, Sianad Gregory, Ian Virgo","","",2021,"13+","93 min","Action, Drama, Suspense","Chris Blythe returns to his home town in Wales after losing a fortune in Canada. He falls in love with Elen, a volatile and charismatic woman. But Elen's father Billy is a dangerous man and Chris finds himself torn between love and hate..."
"Tough Guy: The Bob Probert Story","Geordie Day","Bob Probert, Joe Kocur, Don Cherry, Tie Domi, Jeremy Roenick, Chris Chelios","","",2019,"16+","93 min","Documentary, Drama, Sports","An intimate portrait of legendary NHL tough guy Bob Probert told through exclusive interviews with his family, friends, teammates and rivals, featuring game footage, news reports, and never before seen home movies."
"The Extraordinary Tale of William Buckley: The great untold story of Australia's Robinson Crusoe","Malcolm McDonald","Michael Cathcart, Jean-Marc Russ, Chris Haywood","","",2015,"ALL","53 min","Documentary, Drama","This docudrama tells the remarkable true story of a convict who was sent from Britain to Australia for possessing a bolt of stolen cloth. He escaped, and spent the next 32 years living with an Aboriginal tribe. Thought initially to be a spirit by his new community, he learned the native culture and became an integral member. His harrowing account is one of the greatest survival stories ever told."
"Monster Truck Counting For Kids","Les Anas","Grandpa Uppet, Professor Clunk","","",2014,"ALL","3 min","Kids","Monster truck count from one to ten. Count to ten as the monster trucks jump the cars. Kids love learning with monster trucks and other vehicles."
"Virus","Aashiq Abu","Revathy, Kunchako Boban, Parvathy Thiruvoth","India","",2019,"ALL","149 min","Drama, Science Fiction, Suspense","Virus is a fiction based on true events, revolving around the deadly Nipah virus epidemic scare in Calicut, in 2018. A zoonotic disease top-listed by WHO, with no vaccination and treatment protocol, the deadly Nipah kills 75 % of those affected. Virus movie documents how the community spirit of a small town, in a tiny state of India, managed to fight the battle and win."
"45 Days To Be Rich","Hani Bay","Jesi Jensen, Michael James Alexander","","",2021,"18+","75 min","Comedy","Before Jake and Joe can inherit their mother's million dollars, they must first abide by her will and agree to live with their estranged Greek brother for 45 days."
"Stealing Chaplin","Paul Tanter","Charles Chaplin, Al Sapienza, Wayne Newton, Peter Woodward, Simon Phillips, Anne-Carolyne Binette, Cheryl Prater","","",2021,"18+","106 min","Action, Comedy","Inspired by real events, the story centers around two Las Vegas-based con men who dig up and steal the corpse of comedian Charlie Chaplin in order to ransom it. With the theft gaining the world's attention and the reward rising daily, soon every local lowlife, criminal and dirty cop wants a piece of the action."
"Saltwater: The Battle For Ramree Island","Steve Lawson","Glenn Salvage, Jas Steven Singh, Steve Dolton, Ryan Harvey","","",2021,"18+","83 min","Action, Horror","During the last months of WW2, an Allied mission to regain Ramree Island off the coast of Burma ends in horror when a group of soldiers find themselves trapped in dense swampland infested with deadly saltwater crocodiles. Inspired by actual events."
"10 Cent Pistol","Michael C. Martin","Jena Malone, JT Alexander, Damon Alexander, Joe Mantegna, Thomas Ian Nicholas","","",2015,"18+","91 min","Action, Suspense","A story about two lifelong criminals who maneuver through the shady underbelly of Los Angeles in search of wealth, love and redemption."
"Jarab","Prakash Panchal","Ankush Chaudhari, Girish Oak, Sanjay Khapre, Abhishek Kulkarni, Sai Lokur, Priya Gamre, Pooja Mulye, Pathik Bhandare","","",2013,"13+","113 min","Action, Drama","Ajay and Kavya are working in a corporate office of Sameer. Sameer loves Kavya but she loves Ajay. Kavya and her friend Symphia plan a trip to Goa where they get kidnapped.Ajay then decides to investigate the matter along with police officer Vikranth."
"Amundsen: The Greatest Expedition","Espen Sandberg","Pål Sverre Hagen, Katherine Waterston, Christan Rubeck, Trond Espen Seim, Glenn André Kaada, Ida-Ursin Holm","","",2021,"16+","125 min","Action, Drama, Suspense","Roald Amundsen's dream of reaching the North Pole haunts him throughout his life. He is obsessed with the idea of discovering the last unchartered lands of the world. While he wins the race against Robert Scott to becomes the first man ever to conquer the South Pole, Amundsen will sacrifice everything to be the first to explore the icy wastelands of the North Pole."
"Middle Class Melodies","Vinod Anantoju","Anand Deverakonda, Varsha Bollamma, Chaitanya, Divya Drishti","India","",2020,"16+","136 min","Comedy, Drama","A comedy drama depicting the congenial lives of the middle class in a village and the ambitions of a young man who moves to a nearby city to pursue his dream of owning a hotel. The story surrounds middle class families, their dreams, beliefs, struggles and hope presented in a light hearted dramedy."
"5-Minute Anxiety Meditation","","Donna D' Cruz","","",2020,"ALL","5 min","Special Interest","A guided meditation to help you overcome anxiety in your life. Guided by Donna D' Cruz."
"The Edge of Marlene","Ana Valine","Suzanne Clément, Callum Keith Rennie, Paloma Kwiatkowski, Dakota Daulby","","",2016,"16+","97 min","Comedy, Drama","This darkly comic drama centers on mother/daughter con artists. Sammie lives with her pill-popping, alcoholic mom Marlene - this bittersweet journey leads us through their dysfunction, love & addiction, before an unusual deliverance."
"Beate","Samad Zarmandili","Donatella Finocchiaro, Paolo Pierobon, Lucia Sardo","","",2021,"18+","94 min","Comedy, Drama","In this timely and relevant story of revolt against greed and apathy for the working class, a group of Italian lingerie factory workers take matters into their own hands after discovering their boss's plot to lay them off and export the jobs to Serbia. The workers must form an unlikely alliance with nuns in a nearby convent when they both discover they each have a common enemy."
"Darling","Sam Anton","G. V. Prakash Kumar, Nikki Galrani, Bala Saravanan, Karunas, Rajendran, Kalaiyarasan","","",2015,"13+","120 min","Horror","Depressed in life, three youngsters decide to commit suicide and go to a beach house to do it, unaware that the place is haunted by a ghost."
"Zombie King","Aidan Belizaire","Edward Furlong, Corey Feldman, George McCluskey, David McClelland, Michael Gamarano","","",2016,"18+","96 min","Comedy, Horror","After heartbroken widower Samuel makes a deal with Kalfu, the god of Malevolence. This allows Samuel to live with his dead wife as a zombie, and leads to the destruction of the underworld."
"I am the Flash","John Karas","John Karas, Rachel Levinson-Emley","","",2015,"7+","8 min","Action, Comedy","Barry is given a ""Flash"" T-shirt from his girlfriend that awakens a repressed delusion of super-speed that proves to be more than they both bargained for."
"Dhilluku Dhuddu 2","Rambhala","Santhanam, Shritha Sivadas, Deepti, Rajendran, Bipin, Urvashi","","",2019,"13+","111 min","Horror","In a bid to escape from Viji's antics, his neighbours lure him to fall in love with Maya. However, everything turns upside down when he realises that a ghost is protecting Maya."
"El Vigilante","Diego Ros","Leonardo Alonso, Rodrigo Franco","","",2016,"18+","75 min","Drama","A night guard has to deal with a bizarre and improbable series of events in the most important night of his life."
"V (Malayalam)","Mohana Krishna Indraganti","Nani, Sudheer Babu, Nivetha Thomas, Aditi Rao Hydari","","",2020,"16+","140 min","Action, Drama, Suspense","The showdown between a celebrated cop and a serial killer who challenges the former to nab him, results in consequences laced with heavy-duty action, playful romance and dark humour."
"Nancy Wake: Gestapo's Most Wanted","Mike Smith","Rachael Blampied, Owen Black, William Kircher","","",2014,"16+","62 min","Documentary","During World War II, Nancy Wake bravely fought against the Nazis in war-torn France. Pursued by German spies, Wake took a stand for the French resistance. This is her story."
"Madness in the Method","Jason Mewes","Jason Mewes, Vinnie Jones, Gina Carano, Jaime Camil, Brian O'Halloran, Blake Harrison, Stan Lee, Evanna Lynch, Mickey Gooch Jr., Dean Cain, Zach Galligan, Casper Van Dien, Judd Nelson, Teri Hatcher, David Dastmalchian, Danny Trejo, Kevin Smith","","",2019,"16+","99 min","Comedy","Legendary stoner actor Jason Mewes (Clerks, Jay and Silent Bob Strike Back) is tired of Hollywood's perception of him. Upon advice from best friend Kevin Smith, Mewes tracks down a secret method acting book to reinvent himself as a serious actor - with disastrous consequences!"
"Tales of an American Hoodrat","Brandon Lunzman","Chris Beetem, Brandon Lunzman, Amirah LaPlant, Tylan Glover","","",2019,"18+","99 min","Comedy, Drama","A coming of age story that follows a group of millennial teenagers, as they live their days of adolescence by their own set of rules."
"Joker","Raju Murugan","Guru Somasundaram, Ramya Pandiyan, Gayathri, Ramasamy, Bava Chelladurai, Bala Murugan","India","",2016,"ALL","129 min","Comedy, Drama, International","Mannar (protagonist), a villager, who declares himself as Indian President, protests government for absurdities. On a trial, he reveals his past. When everyone sees him as Joker, audience are questioned at the end."
"Jamesy Boy","Trevor White","Mary-Louise Parker, Ving Rhames, James Woods, Taissa Farmiga, Spencer Lofranco","","",2014,"16+","110 min","Action, Adventure, Drama","Rage-filled teenager James is never one to back down from a fight. He jumps at the chance to run drugs and guns for a gang and quickly ends up behind bars. He turns his life around in prison thanks to the unexpected friendship he forms with a convicted murderer."
"My Dog Stupid","Yvan Attal","Yvan Attal, Charlotte Gainsbourg, Eric Ruf, Pascale Arbillot, Ben Attal","","",2019,"18+","106 min","Comedy","Henri is a middle-aged writer in crisis. Just at a time when he assesses of his life, an enormous gray dog, impolite and smelly, sneaks into Henri's house."
"Learn Colors With Finger Family And More","HooplaKidz","","","",2019,"ALL","30 min","Kids","Colors are so much fun, Learn as you sing your favorite Finger Family Songs Collection along with the awesome nursery rhymes children love."
"All Roads Lead Home","Dennis Fallon","Peter Coyote, Jason London, vivien Cardone, Peter Boyle, Patton Oswalt","","",2020,"7+","113 min","Drama","When Belle, struggling with the loss of her mom, is sent to live with her grandfather, she soon becomes the savior of all living things! An old race horse and Atticus the dog change Belle's life, and in turn the life of those who love her."
"All Joking Aside","Shannon Kohli","Raylene Harewood, Brian Markinson, David Lewis","","",2020,"18+","84 min","Comedy, Drama","A young woman pursuing her dream of becoming a stand-up comic forms an unlikely friendship with a jaded former comedian after he heckles her off the stage at her first open mic."
"Kazhugu 2","Sathyasiva","Krishna Sekhar, Bindu Madhavi, Kaali Venkat, M. S. Bhaskar","","",2019,"13+","118 min","Comedy, Suspense","Two thieves from Theni arrive in Kodaikanal, where they are mistaken for huntsmen. They see an opportunity to use the misunderstanding to their advantage and hide from the law."
"Kadathal Kaaran","Kumar","Kevin, Renuka","","",2020,"13+","108 min","Romance","A bride was captured by the people of the village who share the stolen things equally."
"Battered","Lewis Leslie","Mia Paris, Carly Jones, Luke Banham, Laura Lee, Charles A. Baird, Spencer Kane, Marc Bilker, Bianca Conner, Jim LeVasseur, Helen Wilson, Stacy Firkus, Molly Monroe, T. Patrick Quinn","","",2021,"18+","44 min","Action, Horror, Suspense","After Piper's alcoholic boyfriend sends her to the hospital, she joins a group of battered women who decide to kill their exes, only to discover that these guys won't go down without a fight."
"Little Baby Bum - I Love My baby Song - Valentines Special & More Kids Songs","Cannis Holder","","","",2020,"ALL","31 min","Kids","Little Baby Bum is a fun, educational children's nursery rhyme channel watched globally by kids. Learn colors, shapes, numbers with some of our most well-loved characters! Sing along to some of the most classic nursery rhymes like ""I Love My Baby Song"", ""Five Little Baby Bum Friends!"" and more! Watch these educational cartoons that your kids will surely enjoy."
"Big Brother","Ka-Wai Kam","Donnie Yen","","",2019,"16+","101 min","Action, Comedy, Drama","Martial arts legend Donnie Yen stars as a former soldier recruited for his toughest mission yet - teaching a class of teen delinquents. As he kicks his way into their school and home lives, it becomes clear that his unconventional teaching style might be just what they need."
"Jack Vs Lanterns","Jason Liquori","","","",2021,"13+","105 min","Horror","Horror horticulturist Jack Woods is back and this time the he's facing an army of undead, genetically altered pumpkins programmed to kill all humans! He enlists an army of butt-kicking elite female fighters to help him this time, and no front porch will be safe until these killer babes rid the world of these crazed, rampaging gourds!"
"Super JoJo - Yes Yes Vegetables Song","Super JoJo","Super JoJo","","",2019,"ALL","3 min","Kids","We love veggies!! Tomatoes, bell peppers, green peas, carrots...They are good for you. Sing along with Mom and Baby JoJo and have fun eating vegetables!"
"Elfette Saves Christmas","Christian Cashmir","Quinton Aaron, Ashleigh Blackburn, Anais L. Blake","","",2019,"13+","97 min","Comedy, Kids, Science Fiction","Elfette has to save the day when Santa Claus is kidnapped by the mafia, who try to take over Christmas."
"Elvira's Movie Macabre: The Manster","D.J. Viola, George P. Breakston","Cassandra Peterson","","",2011,"16+","89 min","Comedy, Horror, Science Fiction","A revamping, if you will, of the 1980's classic horror movie showcase, hosted by Elvira, Mistress of the Dark. Elvira tries to figure out a way to avoid being deported."
"At Granny's House","Les Mahoney","Rachel Alig, Bill Oberst Jr., Les Mahoney, Glenda Morgan Brown","United States","",2015,"18+","87 min","Horror, Suspense","A typical Midwest house. A sweet little old lady. When a caretaker moves in to help out, Granny's House becomes a macabre place of death and love."
"Simhasanam","Shaji Kailas","Prithviraj Sukumaran, Sai Kumar, Vendana Menon, Aishwarya Devan","","",2021,"13+","154 min","Action, Romance","A village head Madhav Reddy is highly reputed for his integrity. Trouble starts when rival clan makes conspiracy against Madhav Reddy to rule the Chandragiri constituency. In spite of all toughest odds a medical student, lover boy Arjun son of Madhav Reddy turns dynamic and takes revenge, and finally corners rivals to their destiny in a powerful way."
"Faith In Humanity Restored","Dean Kamitsis, Michael Whitfield","","","",2018,"7+","8 min","Documentary","A short documentary exploring the decline in numbers of people being interested in religion and/or attending church."
"KiiYii - Learn How To Get Dressed & More Kids Songs","Moonbug Entertainment","","","",2020,"ALL","30 min","Kids","A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!"
"Now Is the Time","Christopher Auchter","","","",2019,"7+","16 min","Documentary, Special Interest","When internationally renowned Haida carver Robert Davidson was only 22 years old, he carved the first new totem pole on British Columbia's Haida Gwaii in almost a century. On the 50th anniversary of its raising, Haida filmmaker Christopher Auchter revisits that day in August 1969, when the village of Old Massett gathered to celebrate the event that would signal the rebirth of the Haida spirit."
"Alternate Nostril Breathing","Mark Knight","Anne-Marie Newland","","",2016,"ALL","7 min","Fitness, Special Interest","This breathing practice will reduce stress, calm the body and focus the mind, while also increasing energy. It is easy to begin this awareness by implementing five simple steps. This is perfect for short everyday relaxation before your exercise practice.Classically trained in the art of yoga in India and Canada, Anne-Marie Newland presents her own dynamic style of yoga known as Sun-Power Yoga."
"First Day of School with Cocomelon","Moonbug Entertainment","","","",2021,"ALL","52 min","Kids","Join CoComelon in these special and educational 'Getting Ready for School' songs for your children! CoComelon is a fun, educational children's nursery rhyme channel watched globally by kids. Learn colors, shapes, numbers, the alphabet, and more!"
"Rival","Marcus Lenz","Yelizar Nazarenko, Maria Bruni, Udo Samel","","",2020,"18+","92 min","Drama, Suspense","Nine-year-old Roman follows his mother Oksana to Germany where she is working illegally. She is living there with the 62-year-old widower Gert who suffers from diabetes. Gert tries to make friends with the boy, but Roman struggles for his mother's attention. When Oksana suddenly falls ill, Roman is left alone with his rival."
"China's New Silk Road","ELVIRE BERAHYA LAZARUS","","","",2019,"7+","53 min","Documentary, Special Interest","What China has baptized 'The New Silk Road' allows a pair of trainers to be transported by train from China to France in under two weeks. On the Horn of Africa, the Chinese state has recently set up a military port and constructed an ultra modern railway serving Ethiopia. Since 2013 the 'Middle Kingdom' has invested billions into projects like these to pave the way for Chinese expansionism."
"Faithful","Rolf Niklas Berggren","Clarissa Hoffmann, Ellis Miller","","",2019,"13+","14 min","Drama, Horror, Suspense","One day, Lauren finds her marriage to be in struggles. She tries at any costs to save her marriage, but the truth may not be as it seems."
"The Isle","Matthew Butler-Hart","Conleth Hill, Alex Hassell, Fisayo Akinade, Tori Butler-Hart, Alix Wilton Regan, Graham Butler","","",2019,"18+","96 min","Horror, Suspense","When three shipwrecked sailors land on an island abandoned except for four sole residents, one sailor starts to question what happened on the island. He must uncover the truth while he battles to save his own life and escape the isle's clutches."
"30 Minutes on the Central California Coast","David Hessemer","","","",2018,"ALL","30 min","Documentary, Special Interest","Hidden away between Carmel and Santa Barbara, California is a stretch of the California Coast that is peaceful, beautiful and mostly unknown. The Hidden Gem is a project created for Sharecare Windows by the Visual Storytelling Class at Oaks Christian High School in Westlake, California. Ten students spent four days shooting to create a special video with images set to an original soundtrack."
"Tomorrow's Star","Esther Veronin","Jerry C, Maggie Chang, Stephanie Hesterberg, Lara Veronin","","",2018,"16+","82 min","Arts, Entertainment, and Culture, Drama, Music Videos and Concerts","A singer with big dreams sacrifices everything for fame, and loses herself and her real friends along the way. She discovers that being true to herself is the golden key to happiness and success. With hit music and video from Lara Veronin and Jerry C."
"Go Fish","Kate Drummond","Kate Drummond","","",2016,"13+","72 min","Comedy, Drama","In this coming-of-age story, Erica Clements's blessed life is turned upside down by her mother's death and her father's subsequent depression, which leaves them financially destitute."
"Resurrection of Jake The Snake","Steve Yu","Jake the Snake Roberts, Diamond Dallas Page, Steve Yu, Steve Austin, Adam Copeland, Jim Ross, Scott Hall, Gene Okerland, Dustin Rhodes","United States","",2015,"16+","97 min","Documentary, Sports","A fallen professional wrestling superstar battles his past demons in a struggle to reclaim his life and the family that has given up on him."
"#Home (4K UHD)","Rojin Thomas","Indrans, Sreenath Bhasi, Vijay Babu, Manju Pillai, Neslin, Kainakary Thankaraj, KPAC Lalitha, Srikanth Murali, Johny Antony, Pauly Wilson, Maniyan Pillai Raju, Anoop Menon, Aju Varghese, Kiran Aravindhakshan, Chithra, Priyanka Nair","","",2021,"13+","161 min","Drama","Home is about the humble, technology-challenged Oliver twist struggles to keep his closeness with his sons and communicate as they grow up and become active on social media."
"RiffTrax Live: House on Haunted Hill","Michael J. Nelson","Michael J. Nelson, Kevin Murphy, Bill Corbett, Paul F. Tompkins, Vincent Price, Carol Ohmart, Richard Long, Elisha Cook Jr., Alan Marshal, Mystery Science Theater 3000 Guys","","",2011,"13+","116 min","Comedy, Horror","Yes, horror classic House on Haunted Hill provides a mesmerizing walk down ""people actually used to find this SCARY?!?"" lane. The Vincent Price horror classic riffed Live! This feature is a parody and contains the original movie combined with a comedic commentary by Mike, Kevin and Bill from RiffTrax (formerly of MST3K aka Mystery Science Theater 3000) ."
"Iceberg Slim: Portrait of a Pimp","Jorge Hinojosa","Ice-T, Quincy Jones, Chris Rock, Snoop Dogg, Henry Rollins","","",2014,"13+","88 min","Documentary","Iceberg Slim: Portrait of a Pimp examines the tumultuous life of legendary Chicago pimp Iceberg Slim and how he reinvented himself from pimp to author of 7 groundbreaking books. These books were the birth of Street Lit and explored the world of the ghetto in gritty and poetic detail and have made him a cultural icon."
"Rex Park: Curse of the Golden Buddha","Jason Park","Jason Park, Christopher Deon, Rachel Sanchez, Christopher Jeffreys","","",2021,"18+","86 min","Comedy","After not being able to pay rent and owing money to a drug lord 3 Roommates struggle to find the one thing that can save their lives, The Golden Buddha! But beware of the curse hidden behind the beautiful gold statue, they're gonna need some good luck."
"2025 - The World enslaved by a Virus","Joshua Wesely, Simon Wesely","Joshua Wesely, Antonia Speer, Matthew Dougan, Laura Wieder, Isabelle Scheuermann, Tabitha Wesely, John Vogt, Simon Wesely, Coby Gilyard, Lukas Speer, Kristen A. Luoma, Marc-Andre Müller, Moritz Becker, Dr. Stephan Wesely, Adrian Spahiu, Michaela Wesely, Ruben Buschmeyer, Leonie Jahn, Marie Abel","","",2021,"13+","91 min","Action, Science Fiction","It's 2025, The world as we have known in 2020 does not exist anymore. The Virus changed the world, and communism is all over the place. A global world language developed, meetings are illegal, traveling is illegal, and Christianity is illegal. A group of Christians is trying to fight back"
"Doug Stanhope: Beer Hall Putsch","Jay Karas","Doug Stanhope","","",2013,"18+","61 min","Arts, Entertainment, and Culture, Comedy, Special Interest","Named after Hitler's failed coup attempt, ""Beer Hall Putsch"" takes you into acerbic comic Doug Stanhope's twisted mind at a gig filmed in Portland."
"Sufiyum Sujatayum","Naranippuzha Shanavas","Jayasurya, Aditi Rao Hydari, Dev Mohan, Siddique, Mamukoya, Harish Kanaran, Kalaranjini","","",2020,"13+","123 min","Drama, Romance","Dr. Rajeev (Jayasurya) and his wife SUJATA (Aditi rao hydari) come from Dubai to participate in the last rituals of Sujata's friend and ex love affair who was a Sufi. The events which happen when they land in the village forms the rest of the plot."
"Elliott Morgan: Holy Sh*t","Sharon Everitt","Elliott Morgan","","",2019,"18+","55 min","Arts, Entertainment, and Culture, Comedy, Special Interest","In one continuous shot, comedian Elliott Morgan, shares tales of betrayal, stupidity, and brainwashing from inside a historic Los Angeles dive bar."
"Loser","Arhaan","Worship Khanna, Shiksha Kandpal, Bharti Koli, Saud Khan, Rohit Devda, Zahid Shaikh, Rajan Rakesh Kumar Singh, Akash Narvade, Shahbaz Sayed, Neha Gupta","","",2021,"16+","41 min","Drama","Loser is a short film, that sheds light on the changing perception with regards to sex in a metropolitan city. It is about a young girl who gets raped because of her perception towards sex. What the girl does next, dismantles all preconceived notions, the society has formed about women's sexuality in the modern era, and depicts how women's attitude have changed over time."
"One Small Hitch","John Burgess","Shane McRae, Aubrey Dollar, Daniel J. Travanti, Janet Ulrich Brooks","","",2015,"13+","105 min","Comedy, Drama","On a flight home to Chicago for a family wedding, childhood friends Josh and Molly agree to fake an engagement for Josh's dying father. Things get crazy when their two boisterous families collide and cause them to start planning a phony wedding."
"Unprescribed","Steve Ellmore","Boone Cutler, Sue Sisley, Hope Wiseman","","",2020,"18+","71 min","Documentary","Amid the opioid and suicide crises increasing numbers of veterans are turning to cannabis as a safer alternative to pharmaceuticals. We've been told that marijuana bad, it's a gateway drug, only to learn we've been systematically lied to through government controlled propaganda. Despite government pushback experts like Dr. Sue Sisley continue to seek answers to the question, 'is marijuana safe?'"
"KiiYii - Miss Polly Had A Dolly - Valentines Day Nursery Rhymes for Kids","Moonbug Entertainment","","","",2020,"ALL","29 min","Kids","A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!"
"12 'O' Clock","Ram Gopal Varma","Mithun Chakraborty, Makrand Deshpande, Dalip Tahil, Krishna Gautam, Ashish Vidyarthi","","",2021,"18+","113 min","Horror","12 'O' Clock revolves around a young girl, Gauri who starts getting traumatized with frightening nightmares and incidents of eerie sleepwalking. What follows to extricate her from the possession forms the crux of the story."
"Black Coal, Thin Ice","Yi'nan Diao","Fan Liao, Gwen Lun","","",2014,"18+","109 min","Action, Drama","With more than 30 premieres and 20 awards from top film festivals around the world, Black Coal, Thin Ice is the story of a disgraced cop and his partner, still seeking the truth behind the high-profile murders that ended their careers - because it seems the killer is at it again."
"Honor Amongst Men","Fred Carpenter","Chuck Zito, Robert Clohessy, Joan Jett, Edward Asner, Vincent Pastore, Kevin Brown","","",2021,"16+","85 min","Drama","A day in the life of John Halmo, a veteran police officer who is trying to juggle his turbulent home life, the daily stresses of his job, and the apparent inevitable biker war that's about to engulf his hometown."
